log(S/K),ttm,sigma,pathwise_delta,call_payoff,call_true,digital_payoff,digital_true,true_d_log(S/K),true_d_ttm,true_d2_log(S/K),path
-0.17514758,1.9498903,1.9498903,19.469734601873142,3.4124519182173465,0.53801,1,0.14349015,0.68150014,0.22631997,0.7975682,186
-0.56218857,2.1916916,2.1916916,0.0,0.0,0.36747244,0,0.08813096,0.4556034,0.15987386,0.5285488,187
0.34212306,2.141634,2.141634,0.0,0.0,1.0729973,0,0.18112966,1.254127,0.26343167,1.3771319,188
-0.32929966,0.5354942,0.5354942,0.0,0.0,0.07332945,0,0.18870127,0.26203066,0.27022198,0.7666524,189
0.6055516,2.7311077,2.7311077,5.762675252577139,1.400557383469804,1.6028968,1,0.12634708,1.7292439,0.20739874,1.8051833,190
-0.35909104,1.0345869,1.0345869,0.0,0.0,0.20265505,0,0.19368964,0.39634472,0.2745794,0.6617448,191
-0.52296853,0.25005186,0.25005186,0.0,0.0,0.001267097,0,0.0133298095,0.014596832,0.03420773,0.15139945,192
0.45901963,0.34134072,0.34134072,1.7737216799380349,0.33181145089472186,0.60010374,1,0.8798194,1.4799231,0.20025258,2.0665877,193
-0.48065,1.4269744,1.4269744,0.0,0.0,0.2531741,0,0.14678583,0.3999599,0.22980522,0.5610036,194
-0.44462854,0.2159478,0.2159478,0.0,0.0,0.0012459559,0,0.015119837,0.016365776,0.03813026,0.19293733,195
0.1377738,2.3607023,2.3607023,0.0,0.0,0.89314365,0,0.13093342,1.024077,0.21259442,1.1141326,196
0.51925325,2.6108882,2.6108882,0.0,0.0,1.4351814,0,0.13424121,1.5694226,0.21628018,1.6522603,197
-0.4208309,0.1387822,0.1387822,0.0,0.0,3.8239523e-05,0,0.00096205494,0.0010002911,0.0032496043,0.02441529,198
-0.26294723,2.4490392,2.4490392,0.0,0.0,0.5758817,0,0.091448665,0.6673304,0.16432649,0.7344287,199
0.38456476,2.9454987,2.9454987,0.0,0.0,1.2992465,0,0.08976735,1.3890139,0.16207853,1.4440397,200
0.6540903,0.18806767,0.18806767,7.495352377317488,1.7377642207433968,0.9234085,1,0.9996427,1.9230512,0.0013013058,1.9299706,201
0.0010275022,2.202405,2.202405,0.0,0.0,0.7300803,0,0.13550584,0.86558616,0.21767582,0.9644217,202
-0.4936629,2.9973729,2.9973729,0.0,0.0,0.5066602,0,0.048117712,0.5547779,0.1000222,0.5881479,203
-0.6738274,2.411644,2.411644,0.0,0.0,0.35072708,0,0.068741746,0.41946882,0.13240507,0.47437125,204
-0.37477633,1.5655353,1.5655353,0.0,0.0,0.33237007,0,0.15335274,0.48572278,0.23660965,0.63685936,205
-0.5104028,2.6659865,2.6659865,0.0,0.0,0.46042934,0,0.06369904,0.5241284,0.124817595,0.57094693,206
0.24628721,2.153004,2.153004,0.0,0.0,0.9617905,0,0.1679973,1.1297878,0.2511347,1.2464316,207
-0.52425146,0.9481098,0.9481098,0.0,0.0,0.12517649,0,0.15221053,0.27738702,0.23543942,0.52571213,208
0.008775149,0.7505274,0.7505274,0.0,0.0,0.29825082,0,0.35808894,0.65633976,0.37342778,1.1538936,209
0.26930493,1.5863787,1.5863787,0.0,0.0,0.82291144,0,0.2665015,1.0894129,0.32848305,1.2964776,210
0.1124515,1.1816726,1.1816726,0.0,0.0,0.5332778,0,0.31006247,0.8433403,0.3528245,1.1419209,211
-0.41619933,1.0554571,1.0554571,0.0,0.0,0.18652156,0,0.17824882,0.36477035,0.26079118,0.61185867,212
0.42160612,0.615982,0.615982,1.9601848550511392,0.4000660581547266,0.63304174,1,0.6467105,1.2797523,0.37165195,1.8831009,213
0.2986177,2.5513294,2.5513294,0.0,0.0,1.1143501,0,0.123305455,1.2376555,0.20389718,1.3175735,214
0.33130217,2.144542,2.144542,0.0,0.0,1.0602689,0,0.17936578,1.2396346,0.2618187,1.3617207,215
-0.51146257,1.0608323,1.0608323,0.0,0.0,0.15571661,0,0.15563776,0.31135437,0.23893431,0.5365873,216
-0.52158797,0.7892345,0.7892345,1.5152619629009365,0.2309598252006353,0.08887495,1,0.1455994,0.2344743,0.22855599,0.52406627,217
0.59272754,0.47159994,0.47159994,4.494007296176278,1.1199073613968098,0.83995086,1,0.84638315,1.6863341,0.23687942,2.188623,218
-0.14198677,0.42628756,0.42628756,0.0,0.0,0.099945486,0,0.29245692,0.39240247,0.3436549,1.1985599,219
